date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:21	262142/262142	------	200	untouched ('OK')	text/html	etag:W/%223fffe-kRDOjw5zAQ8AbbO9VT63UBZvhE0%22	https://www.hulu.com/series/seduced-inside-the-nxivm-cult-65621564-2c92-4c24-a601-2ad390753295	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/seduced-inside-the-nxivm-cult-65621564-2c92-4c24-a601-2ad390753295.html	(from https://www.hulu.com/hub/tv)
19:24:21	274331/274331	------	200	untouched ('OK')	text/html	etag:W/%2242f9b-ktU3ShqDUXGTbSo2J/HVkdg1bYc%22	https://www.hulu.com/series/sweetbitter-e94b49c9-9453-4c51-9a76-0a18a1dbf332	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/sweetbitter-e94b49c9-9453-4c51-9a76-0a18a1dbf332.html	(from https://www.hulu.com/hub/tv)
19:24:21	252088/252088	------	200	untouched ('OK')	text/html	etag:W/%223d8b8-+McbLoCQLZW2XMlzssCb+a9+rK8%22	https://www.hulu.com/series/larry-mcmurtrys-streets-of-laredo-59c4564e-e175-444b-9c20-6fb3dae1e394	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/larry-mcmurtrys-streets-of-laredo-59c4564e-e175-444b-9c20-6fb3dae1e394.html	(from https://www.hulu.com/hub/tv)
19:24:21	270684/270684	------	200	untouched ('OK')	text/html	etag:W/%224215c-9Ea5YHAf8/HnmFEmIUgLGtApSP4%22	https://www.hulu.com/series/centennial-cba9d982-8ebf-403b-b441-30a79f90be0d	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/centennial-cba9d982-8ebf-403b-b441-30a79f90be0d.html	(from https://www.hulu.com/hub/tv)
19:24:21	278633/278633	------	200	untouched ('OK')	text/html	etag:W/%2244069-No6by7QRO0uDXOOjwvvcoCUVafE%22	https://www.hulu.com/series/wrong-man-3053ed1b-0c8b-414c-bdc7-beb7b1ed08f7	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/wrong-man-3053ed1b-0c8b-414c-bdc7-beb7b1ed08f7.html	(from https://www.hulu.com/hub/tv)
19:24:21	262243/262243	------	200	untouched ('OK')	text/html	etag:W/%2240063-Yk3XgMyeFa+VN0+5qytwcWn+PLk%22	https://www.hulu.com/series/now-apocalypse-3e3b1f3f-49ff-4919-822e-9636c9c245b4	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/now-apocalypse-3e3b1f3f-49ff-4919-822e-9636c9c245b4.html	(from https://www.hulu.com/hub/tv)
19:24:21	282657/282657	------	200	untouched ('OK')	text/html	etag:W/%2245021-BejpP8Z5Bc6VV/FoSJRCNsvUCGI%22	https://www.hulu.com/series/magic-city-8b925a3b-5c83-4418-bbc0-d00a3d0b452d	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/magic-city-8b925a3b-5c83-4418-bbc0-d00a3d0b452d.html	(from https://www.hulu.com/hub/tv)
19:24:21	332044/332044	------	200	untouched ('OK')	text/html	etag:W/%225110c-2agtjEEDBw45VNGKObOyeavGwH8%22	https://www.hulu.com/series/the-deputy-7d832faa-aa18-45c9-9acf-a79e7e078007	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/the-deputy-7d832faa-aa18-45c9-9acf-a79e7e078007.html	(from https://www.hulu.com/hub/tv)
19:24:21	261460/261460	------	200	untouched ('OK')	text/html	etag:W/%223fd54-0Yn+JHQgcRoiZd/cfDewxkUUYf4%22	https://www.hulu.com/series/attila-the-hun-8d8d5a25-cdee-4d4b-abd4-913acafe03b7	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/attila-the-hun-8d8d5a25-cdee-4d4b-abd4-913acafe03b7.html	(from https://www.hulu.com/hub/tv)
19:24:21	350646/350646	------	200	untouched ('OK')	text/html	etag:W/%22559b6-iwM6viDDynrxmegNWXj9s5OJFQU%22	https://www.hulu.com/series/wanted-dead-or-alive-075cfa37-72d7-4e8b-812a-393788283dd7	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/wanted-dead-or-alive-075cfa37-72d7-4e8b-812a-393788283dd7.html	(from https://www.hulu.com/hub/tv)
19:24:21	286631/286631	------	200	untouched ('OK')	text/html	etag:W/%2245bae-0cjTfUMUcW7XzZliljW171i7wLM%22	https://www.hulu.com/series/vida-b109a234-c787-47f2-a2fd-4dee2e6a66bd	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/vida-b109a234-c787-47f2-a2fd-4dee2e6a66bd.html	(from https://www.hulu.com/hub/tv)
19:24:21	259432/259432	------	200	untouched ('OK')	text/html	etag:W/%223f568-1ourVW7KjRZEIT33Cxh/ze3tWHY%22	https://www.hulu.com/series/howards-end-e5f66781-d24a-4aa6-93a6-ee5f3ae07be6	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/howards-end-e5f66781-d24a-4aa6-93a6-ee5f3ae07be6.html	(from https://www.hulu.com/hub/tv)
19:24:21	253946/253946	------	200	untouched ('OK')	text/html	etag:W/%223dffa-eWX59unn3UIEd32dFXocab8xMyg%22	https://www.hulu.com/series/return-to-lonesome-dove-673487ae-6b16-4e29-aabd-3da81a298277	C:/My%20Web%20Sites/HULU%20WEBSITE%20CLONE/www.hulu.com/series/return-to-lonesome-dove-673487ae-6b16-4e29-aabd-3da81a298277.html	(from https://www.hulu.com/hub/tv)
